name,latitude,longitude,num_chargers,charger_type,operator,address,city,postal_code,usage_cost
Metropolitan Towers,43.460806471349,-80.5126387088477,1,Level 2,SWTCH - Charge Everywhere,57 Union St E,Waterloo,N2J 1C1,Unknown
WATERLOO REGION,43.4637302,-80.5195925,1,Level 2,ChargePoint,100 Regina Street South,Waterloo,N2J 4A8,Unknown
William Street,43.463168,-80.519858,1,Level 2,flo,29 William Street East,Waterloo,N2L 1J4,Unknown
Christian Horizon - North Lot,43.467422,-80.518764,1,Level 2,flo,26 Peppler St,Waterloo,N2J 3C4,Unknown
Bridgeport Plaza,43.4701452479671,-80.5152106882865,1,Level 2,SWTCH - Charge Everywhere,70 Bridgeport Rd E,Waterloo,N2J 2J9,Unknown
Swtch Energy,43.47052,-80.513712,1,Level 2,SWTCH - Charge Everywhere,94 Bridgeport Rd E,Waterloo,N2J 2J9,Unknown
SWTCH Energy Inc.,43.4683,-80.5202,1,Level 2,SWTCH - Charge Everywhere,42 Bridgeport St E,Waterloo,N2J 0B3,Unknown
Marsland Centre Waterloo - 1,43.4656,-80.523779,1,Level 2,flo,20 Erb St. West,Waterloo,N2L 1T2,Unknown
14 Princess Street West,43.467101,-80.524105,1,Level 2,flo,14 Princess Street West,Waterloo,N2L 2X8,Unknown
WATERLOO,43.4644465,-80.5247975,1,Level 2,ChargePoint,48 ERB STREET WEST,Waterloo,N2T 2L6,Unknown
67 Erb Street,43.464049,-80.525836,1,Level 2,flo,67 Erb St West,Waterloo,N2L 6C2,Unknown
Moses Springer Community Centre,43.4737,-80.511656,1,Level 2,flo,150 Lincoln Road,Waterloo,N2J 4A8,Unknown
Delta Hotels By Marriott Waterloo,43.463396,-80.528903,1,Level 2,Tesla (Tesla-only charging),110 Erb St W,Waterloo,N2L 0C6,Unknown
Silver Lake Developments,43.46408,-80.52914,1,Level 2,Unknown,17 Barrel Yards Blvd,Waterloo,N2L 0E4,Unknown
University of Waterloo,43.474785,-80.521858,1,Level 2,Unknown,202 Regina St,Waterloo,N2J 3B6,Unknown
Wilfrid Laurier University - Bricker Academic Building,43.473043,-80.526193,1,Level 2,flo,75 University Avenue West,Waterloo,N2L 3C5,Unknown
Catalyst - Geotab,43.450672,-80.51226,1,Level 2,flo,137 Glasgow Street,Kitchener,N2G 4X8,Unknown
FLEETCARMA,43.4506323,-80.5121858,1,Level 2,ChargePoint,137 Glasgow St,Kitchener,N2G 4X8,Unknown
Waterloo Memorial Recreation Complex,43.464469,-80.531841,1,Level 2,flo,101 Father David Bauer Drive,Waterloo,N2L 0B4,Unknown
The Regional Municipality of Waterloo,43.4638941,-80.5323998,1,Level 2,Unknown,101 Father David Bauer Drive,Waterloo,N2L 6C2,Unknown
100 Father David Bauer,43.465079,-80.533596,1,Level 2,flo,100 Father David Boulevard,Waterloo,N2L 6M3,Unknown
WRDSB WESTMOUNT PUB,43.45,-80.521499,1,Level 2,ChargePoint,325 Glasgow St,Kitchener,N2M 2M9,Unknown
Wilfrid Laurier University - Peters Schlegel,43.473169,-80.530532,1,Level 2,flo,75 University Avenue West,Waterloo,N2L 3C5,Unknown
Conestoga College - Waterloo,43.479543,-80.518368,1,Level 2,flo,108 University Avenue,Waterloo,N2J 2W2,Unknown
HAZELVIEW 300 REGINA-2,43.478456,-80.523357,1,Level 2,ChargePoint,300 Regina St N,Waterloo,N2J 3B8,Unknown
Swtch Energy,43.463499,-80.535263,1,Level 2,SWTCH - Charge Everywhere,139 Father David Bauer Dr,Waterloo,N2L 6M1,Unknown
SWTCH Energy Inc.,43.4503,-80.501,1,Level 2,SWTCH - Charge Everywhere,100 Victoria St S,Kitchener,N2G 2B3,Unknown
Garment Street Condos,43.4500235026378,-80.501494009402,1,Level 2,SWTCH - Charge Everywhere,100 Victoria St S,Kitchener,N2G 2B3,Unknown
SWTCH Energy Inc.,43.4637,-80.5359,1,Level 2,SWTCH - Charge Everywhere,141 Father David Bauer Dr,Waterloo,N2L 6N9,Unknown
Wilfrid Laurier University,43.475956,-80.529925,1,Level 2,flo,75 University Ave W,Waterloo,N2L 3C5,Unknown
Urban Lofts,43.459231,-80.536434,1,Level 2,flo,98 Farley Drive,Guelph,,£1.50/hour
KITCHENER FRANCIS&JOSEPH,43.450498,-80.497499,1,Level 2,ChargePoint,44 Francis St S,Kitchener,N2G 2A2,Unknown
KITCHENER CITY HALL 2,43.451718,-80.492581,1,Level 2,ChargePoint,200 King St W,Kitchener,N2G 4V6,Unknown
